== Rival pressure probe · seed 2039 · 1825 days · entrepreneur · home ARN ==
DAY  DATE       | RIVAL            | ACTION                                               | PLAYER IMPACT                                  | CURRENT VISIBILITY
D001 2030-01-02 | TerraLink | OPENED CGK-DPS elsewhere @$113 2x | none | FILTERED
D002 2030-01-03 | Crown Meridian | OPENED HND-TPE elsewhere @$226 2x | none | FILTERED
D003 2030-01-04 | SwiftJet | OPENED CDG-ZRH elsewhere @$75 2x | none | FILTERED
D004 2030-01-05 | Aurora Atlantic | OPENED LHR-BER at your airport @$146 2x | none | FILTERED
D005 2030-01-06 | PacificBlue | OPENED IST-BER elsewhere @$152 2x | none | FILTERED
D008 2030-01-09 | TerraLink | FREQUENCY UP CGK-DPS 2x→3x | none | NO EVENT
D008 2030-01-09 | TerraLink | FLEET GREW 1→2 | none directly | FEED
D009 2030-01-10 | Crown Meridian | FREQUENCY UP HND-TPE 2x→3x | none | NO EVENT
D009 2030-01-10 | Crown Meridian | FLEET GREW 1→2 | none directly | FEED
D010 2030-01-11 | SwiftJet | FLEET GREW 1→2 | none directly | FILTERED
D011 2030-01-12 | Aurora Atlantic | FREQUENCY UP LHR-BER 2x→3x | none | NO EVENT
D011 2030-01-12 | Aurora Atlantic | FLEET GREW 1→2 | none directly | FILTERED
D012 2030-01-13 | PacificBlue | FLEET GREW 1→2 | none directly | FILTERED
D015 2030-01-16 | TerraLink | OPENED CGK-BKK elsewhere @$219 2x | none | FILTERED
D017 2030-01-18 | SwiftJet | OPENED CDG-NCE elsewhere @$94 2x | none | FILTERED
D018 2030-01-19 | Aurora Atlantic | OPENED LHR-MUC at your airport @$144 2x | none | FILTERED
D019 2030-01-20 | PacificBlue | OPENED IST-MXP elsewhere @$151 2x | none | FILTERED
D022 2030-01-23 | TerraLink | FREQUENCY UP CGK-DPS 3x→4x | none | NO EVENT
D022 2030-01-23 | TerraLink | FREQUENCY UP CGK-BKK 2x→3x | none | NO EVENT
D022 2030-01-23 | TerraLink | FLEET GREW 2→3 | none directly | FILTERED
D023 2030-01-24 | Crown Meridian | FREQUENCY UP HND-TPE 3x→4x | none | NO EVENT
D023 2030-01-24 | Crown Meridian | FLEET GREW 2→3 | none directly | FILTERED
D024 2030-01-25 | SwiftJet | FREQUENCY UP CDG-ZRH 2x→3x | none | NO EVENT
D024 2030-01-25 | SwiftJet | FLEET GREW 2→3 | none directly | FILTERED
D025 2030-01-26 | Aurora Atlantic | FREQUENCY UP LHR-BER 3x→4x | none | NO EVENT
D025 2030-01-26 | Aurora Atlantic | FREQUENCY UP LHR-MUC 2x→3x | none | NO EVENT
D026 2030-01-27 | PacificBlue | FREQUENCY UP IST-BER 2x→3x | none | NO EVENT
D026 2030-01-27 | PacificBlue | FLEET GREW 2→3 | none directly | FILTERED
D030 2030-01-31 | Crown Meridian | OPENED HND-KIX elsewhere @$75 2x | none | FILTERED
FIGHT day 31: opened LHR-CDG at $57 (ref $65) → applied
D031 2030-02-01 | SwiftJet | OPENED CDG-MUC at your airport @$93 2x | none | FILTERED
MONTH 2030-02 | player routes 5 fleet 5 cash $8.3M era startup | rivals alive 5 routes 11 | contested 0
D032 2030-02-02 | Aurora Atlantic | FREQUENCY UP LHR-BER 4x→5x | none | NO EVENT
D032 2030-02-02 | Aurora Atlantic | FREQUENCY UP LHR-MUC 3x→4x | none | NO EVENT
D033 2030-02-03 | PacificBlue | OPENED IST-MUC at your airport @$142 2x | none | FILTERED
FIGHT D035 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$15k · you $57/2x vs
D036 2030-02-06 | TerraLink | FREQUENCY UP CGK-DPS 4x→5x | none | NO EVENT
D036 2030-02-06 | TerraLink | FREQUENCY UP CGK-BKK 3x→4x | none | NO EVENT
D036 2030-02-06 | TerraLink | FLEET GREW 3→4 | none directly | FILTERED
D037 2030-02-07 | Crown Meridian | FREQUENCY UP HND-TPE 4x→5x | none | NO EVENT
D037 2030-02-07 | Crown Meridian | FREQUENCY UP HND-KIX 2x→3x | none | NO EVENT
D037 2030-02-07 | Crown Meridian | FLEET GREW 3→4 | none directly | FILTERED
D038 2030-02-08 | SwiftJet | FREQUENCY UP CDG-ZRH 3x→4x | none | NO EVENT
D038 2030-02-08 | SwiftJet | FREQUENCY UP CDG-NCE 2x→3x | none | NO EVENT
D039 2030-02-09 | Aurora Atlantic | FREQUENCY UP LHR-BER 5x→6x | none | NO EVENT
D039 2030-02-09 | Aurora Atlantic | FREQUENCY UP LHR-MUC 4x→5x | none | NO EVENT
D040 2030-02-10 | PacificBlue | FREQUENCY UP IST-BER 3x→4x | none | NO EVENT
D040 2030-02-10 | PacificBlue | FREQUENCY UP IST-MXP 2x→3x | none | NO EVENT
D040 2030-02-10 | PacificBlue | FLEET GREW 3→4 | none directly | FILTERED
FIGHT D042 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$39k · you $57/2x vs
D045 2030-02-15 | SwiftJet | FREQUENCY UP CDG-ZRH 4x→5x | none | NO EVENT
D045 2030-02-15 | SwiftJet | FREQUENCY UP CDG-NCE 3x→4x | none | NO EVENT
D045 2030-02-15 | SwiftJet | FREQUENCY UP CDG-MUC 2x→3x | none | NO EVENT
D046 2030-02-16 | Aurora Atlantic | FREQUENCY UP LHR-BER 6x→7x | none | NO EVENT
D046 2030-02-16 | Aurora Atlantic | FREQUENCY UP LHR-MUC 5x→6x | none | NO EVENT
FIGHT D049 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$63k · you $57/2x vs
D050 2030-02-20 | TerraLink | FREQUENCY UP CGK-DPS 5x→6x | none | NO EVENT
D050 2030-02-20 | TerraLink | FREQUENCY UP CGK-BKK 4x→5x | none | NO EVENT
D050 2030-02-20 | TerraLink | FLEET GREW 4→5 | none directly | FILTERED
D051 2030-02-21 | Crown Meridian | FREQUENCY UP HND-TPE 5x→6x | none | NO EVENT
D051 2030-02-21 | Crown Meridian | FREQUENCY UP HND-KIX 3x→4x | none | NO EVENT
D051 2030-02-21 | Crown Meridian | FLEET GREW 4→5 | none directly | FILTERED
D052 2030-02-22 | SwiftJet | FREQUENCY UP CDG-ZRH 5x→6x | none | NO EVENT
D052 2030-02-22 | SwiftJet | FREQUENCY UP CDG-NCE 4x→5x | none | NO EVENT
D052 2030-02-22 | SwiftJet | FREQUENCY UP CDG-MUC 3x→4x | none | NO EVENT
D053 2030-02-23 | Aurora Atlantic | FREQUENCY UP LHR-BER 7x→8x | none | NO EVENT
D053 2030-02-23 | Aurora Atlantic | FREQUENCY UP LHR-MUC 6x→7x | none | NO EVENT
D054 2030-02-24 | PacificBlue | FREQUENCY UP IST-BER 4x→5x | none | NO EVENT
D054 2030-02-24 | PacificBlue | FREQUENCY UP IST-MXP 3x→4x | none | NO EVENT
D054 2030-02-24 | PacificBlue | FREQUENCY UP IST-MUC 2x→3x | none | NO EVENT
D054 2030-02-24 | PacificBlue | FLEET GREW 4→5 | none directly | FILTERED
FIGHT D056 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$86k · you $57/2x vs
D058 2030-02-28 | Crown Meridian | OPENED HND-PEK elsewhere @$224 2x | none | FILTERED
D059 2030-03-01 | SwiftJet | FREQUENCY UP CDG-ZRH 6x→7x | none | NO EVENT
D059 2030-03-01 | SwiftJet | FREQUENCY UP CDG-NCE 5x→6x | none | NO EVENT
D059 2030-03-01 | SwiftJet | FREQUENCY UP CDG-MUC 4x→5x | none | NO EVENT
MONTH 2030-03 | player routes 5 fleet 5 cash $12.5M era regional | rivals alive 5 routes 13 | contested 0
D060 2030-03-02 | Aurora Atlantic | FREQUENCY UP LHR-BER 8x→9x | none | NO EVENT
D060 2030-03-02 | Aurora Atlantic | FREQUENCY UP LHR-MUC 7x→8x | none | NO EVENT
FIGHT D063 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$13k · you $57/2x vs
D064 2030-03-06 | TerraLink | FREQUENCY UP CGK-DPS 6x→7x | none | NO EVENT
D064 2030-03-06 | TerraLink | FREQUENCY UP CGK-BKK 5x→6x | none | NO EVENT
D064 2030-03-06 | TerraLink | FLEET GREW 5→6 | none directly | FILTERED
D065 2030-03-07 | Crown Meridian | FREQUENCY UP HND-TPE 6x→7x | none | NO EVENT
D065 2030-03-07 | Crown Meridian | FREQUENCY UP HND-KIX 4x→5x | none | NO EVENT
D065 2030-03-07 | Crown Meridian | FREQUENCY UP HND-PEK 2x→3x | none | NO EVENT
D066 2030-03-08 | SwiftJet | FREQUENCY UP CDG-ZRH 7x→8x | none | NO EVENT
D066 2030-03-08 | SwiftJet | FREQUENCY UP CDG-NCE 6x→7x | none | NO EVENT
D066 2030-03-08 | SwiftJet | FREQUENCY UP CDG-MUC 5x→6x | none | NO EVENT
